plot_id,accepted_name,fcover
120720b1,Dicranum Hedw.,4.67
120720b1,Dryas integrifolia Vahl,0.67
120720b1,Empetrum nigrum L.,1.33
120720b1,Eriophorum vaginatum L.,2.67
120720b1,Flavocetraria cucullata (Bellardi) Kärnefelt & A. Thell,1.33
120720b1,Hylocomium splendens (Hedw.) Schimp.,18.0
120720b1,Micranthes nelsoniana (D. Don) Small,0.67
120720b1,Pedicularis capitata Adams,0.67
120720b1,Peltigera aphthosa (L.) Willd.,2.67
120720b1,Peltigera canina (L.) Willd.,1.33
120720b1,Petasites frigidus (L.) Fr.,1.33
120720b1,Ptilidium ciliare (L.) Hampe,9.33
120720b1,Ptilium crista-castrensis (Hedw.) De Not.,1.33
120720b1,Pyrola asarifolia Michx.,2.67
120720b1,Rhododendron tomentosum ssp. decumbens (Aiton) Elven & D.F. Murray,16.67
120720b1,Rhytidium rugosum (Hedw.) Kindb.,5.33
120720b1,Salix glauca L.,4.0
120720b1,Saussurea angustifolia (L.) D.C.,0.67
120720b1,Stellaria L.,0.67
120720b1,Tomentypnum nitens (Hedw.) Loeske,1.33
120720b1,Vaccinium uliginosum L.,12.67
120720b1,Vaccinium vitis-idaea L.,5.33
120721a1,Alectoria nigricans (Ach.) Nyl.,0.65
120721a1,Alectoria ochroleuca (Hoffm.) A. Massal.,1.96
120721a1,Andromeda polifolia L.,0.65
120721a1,Aulacomnium palustre (Hedw.) Schwägr.,0.65
120721a1,Aulacomnium turgidum (Wahlenb.) Schwägr.,4.58
120721a1,Betula nana L.,5.88
120721a1,Campylium stellatum (Hedw.) C.E.O. Jensen,0.65
120721a1,Carex aquatilis Wahlenb.,3.27
120721a1,Cassiope tetragona (L.) D. Don,1.96
120721a1,Cetraria laevigata Rass.,1.96
120721a1,Cladonia P. Browne,0.65
120721a1,Cladonia rangiferina (L.) F.H. Wigg.,3.27
120721a1,Cladonia stygia (Fr.) Ruoss,1.96
120721a1,Dactylina arctica (Richardson) Nyl.,1.31
120721a1,Dicranum groenlandicum Brid.,1.96
120721a1,Dicranum spadiceum J.E. Zetterst.,3.92
120721a1,Eriophorum angustifolium Honck.,2.61
120721a1,Eriophorum vaginatum L.,5.88
120721a1,Flavocetraria cucullata (Bellardi) Kärnefelt & A. Thell,5.23
120721a1,Polytrichum Hedw.,1.31
120721a1,Rhododendron tomentosum ssp. decumbens (Aiton) Elven & D.F. Murray,6.54
120721a1,Rubus chamaemorus L.,1.96
120721a1,Salix arctica Pall.,1.31
120721a1,Salix pulchra Cham.,3.92
120721a1,Scorpidium (Schimp.) Limpr.,0.65
120721a1,Sphagnum balticum (Russow) C.E.O. Jensen,2.61
120721a1,Sphagnum rubellum Wilson,2.61
120721a1,Sphenolobus minutus (Schreb.) Berggr.,15.03
120721a1,Thamnolia subuliformis (Ehrh.) W.L. Culb.,3.27
120721a1,Vaccinium vitis-idaea L.,12.42
120721b1,Campylium stellatum (Hedw.) C.E.O. Jensen,1.33
120721b1,Carex aquatilis Wahlenb.,6.0
120721b1,Dicranum Hedw.,5.33
120721b1,Dicranum groenlandicum Brid.,10.67
120721b1,Drepanocladus (Müll. Hal.) G. Roth,3.33
120721b1,Equisetum arvense L.,0.67
120721b1,Equisetum variegatum Schleich. ex F. Weber & D. Mohr,6.67
