datasetSpeciesName,acceptedName,namingAuthority
Phaeophyscia constipata,Phaeophyscia constipata (Norrl. & Nyl.) Moberg,Consortium of Lichen Herbaria
Phaeorrhiza nimbosa,Phaeorrhiza nimbosa (Fr.) H. Mayrh. & Poelt,Consortium of Lichen Herbaria
Physcia species,Physcia (Schreb.) Michx.,Consortium of Lichen Herbaria
Physcia aipolia,Physcia aipolia (Ehrh. ex Humb.) Furnr.,Consortium of Lichen Herbaria
Physconia muscigena,Physconia muscigena (Ach.) Poelt,Consortium of Lichen Herbaria
Placidiopsis pseudocinerea,Placidiopsis pseudocinerea Breuss,Consortium of Lichen Herbaria
Placidium lachneum,Placidium lachneum (Ach.) B. de Lesd.,Consortium of Lichen Herbaria
Placopsis gelida,Placopsis gelida (L.) Lindsay,Consortium of Lichen Herbaria
Placynthiella uliginosa,Placynthiella uliginosa (Schrad.) Coppins & P. James,Consortium of Lichen Herbaria
Placynthium nigrum,Placynthium nigrum (Huds.) A. Gray,Consortium of Lichen Herbaria
Polyblastia sendtneri,Polyblastia sendtneri Kremp.,Consortium of Lichen Herbaria
Polychidium muscicola,Polychidium muscicola (Sw.) A. Gray,Consortium of Lichen Herbaria
Porpidia flavocaerulescens,Porpidia flavocaerulescens (Hornem.) Hertel & A.J. Schwab,Consortium of Lichen Herbaria
Protoblastenia terricola,Protoblastenia terricola (Anzi) Lynge,Consortium of Lichen Herbaria
Protopannaria pezizoides,Protopannaria pezizoides (Weber) P.M Jørg. & S. Ekman,Consortium of Lichen Herbaria
Pseudephebe minuscula,Pseudephebe minuscula (Nyl. ex Arnold) Brodo & D. Hawksw.,Consortium of Lichen Herbaria
Pseudephebe pubescens,Pseudephebe pubescens (L.) M. Choisy,Consortium of Lichen Herbaria
Psora decipiens,Psora decipiens (Hedw.) Hoffm.,Consortium of Lichen Herbaria
Psora rubiformis,Psora rubiformis (Ach.) Hook.,Consortium of Lichen Herbaria
Psoroma hypnorum,Psoroma hypnorum (Vahl) A. Gray,Consortium of Lichen Herbaria
Ramalina almquistii,Ramalina almquistii Vain.,Consortium of Lichen Herbaria
Ramalina dilacerata,Ramalina dilacerata (Hoffm.) Hoffm.,Consortium of Lichen Herbaria
Ramalina roesleri,Ramalina roesleri (Hochst. ex Schaer.) Hue,Consortium of Lichen Herbaria
Rhizocarpon copelandii,Rhizocarpon copelandii (Körb.) Th. Fr.,Consortium of Lichen Herbaria
Rhizocarpon eupetraeoides,Rhizocarpon eupetraeoides (Nyl.) Blomb. & Forss.,Consortium of Lichen Herbaria
Rhizocarpon geographicum s. lat.,Rhizocarpon geographicum (L.) DC.,Consortium of Lichen Herbaria
Rhizocarpon grande,Rhizocarpon grande (Flörke ex Flot.) Arnold,Consortium of Lichen Herbaria
Rhizocarpon species,Rhizocarpon Ramond ex DC.,Consortium of Lichen Herbaria
Rhizocarpon umbilicatum,Rhizocarpon umbilicatum (Ramond) Flagey,Consortium of Lichen Herbaria
Rinodina mniaraea s. lat.,Rinodina mniaraea (Ach.) Körb.,Consortium of Lichen Herbaria
Rinodina mniarea s. lat.,Rinodina mniaraea (Ach.) Körb.,Consortium of Lichen Herbaria
Rinodina terrestris,Rinodina mucronatula H. Magn.,Consortium of Lichen Herbaria
Rinodina olivaceobrunnea,Rinodina olivaceobrunnea C.W. Dodge & Baker,Consortium of Lichen Herbaria
Rinodina roscida,Rinodina roscida (Sommerf.) Arnold,Consortium of Lichen Herbaria
Rinodina turfacea,Rinodina turfacea (Wahlenb.) Körb.,Consortium of Lichen Herbaria
Ropalospora lugubris,Ropalospora lugubris (Sommerf.) Poelt,Consortium of Lichen Herbaria
Collema ceraniscum,"Rostania ceranisca (Nyl.) Otálora, P.M. Jørg. & Wedin",Consortium of Lichen Herbaria
Schadonia fecunda,Schadonia fecunda (Th. Fr.) Vězda & Poelt,Consortium of Lichen Herbaria
Siphula ceratites,Siphula ceratites (Wahlenb.) Fr.,Consortium of Lichen Herbaria
Solorina species,Solorina Ach.,Consortium of Lichen Herbaria
Solorina bispora,Solorina bispora Nyl.,Consortium of Lichen Herbaria
Solorina crocea,Solorina crocea (L.) Ach.,Consortium of Lichen Herbaria
Solorina octospora,Solorina octospora (Arnold) Arnold,Consortium of Lichen Herbaria
Solorina saccata,Solorina saccata (L.) Ach.,Consortium of Lichen Herbaria
Solorina spongiosa,Solorina spongiosa (Ach.) Anzi,Consortium of Lichen Herbaria
Sphaerophorus fragilis,Sphaerophorus fragilis (L.) Pers.,Consortium of Lichen Herbaria
Sphaerophorus globosus,Sphaerophorus globosus (Huds.) Vain.,Consortium of Lichen Herbaria
Sphaerophorus species,Sphaerophorus Pers.,Consortium of Lichen Herbaria
Spilonema revertens,Spilonema revertens Nyl.,Consortium of Lichen Herbaria
Squamarina lentigera,Squamarina lentigera (Weber) Poelt,Consortium of Lichen Herbaria
Stereocaulon alpinum,Stereocaulon alpinum Laurer ex Funck,Consortium of Lichen Herbaria
Stereocaulon apocalypticum,Stereocaulon apocalypticum Nyl.,Consortium of Lichen Herbaria
Stereocaulon arcticum,Stereocaulon arcticum Lynge,Consortium of Lichen Herbaria
Stereocaulon botryosum,Stereocaulon botryosum Ach.,Consortium of Lichen Herbaria
Stereocaulon condensatum,Stereocaulon condensatum Hoffm.,Consortium of Lichen Herbaria
Stereocaulon dactylophyllum,Stereocaulon dactylophyllum Flörke,Consortium of Lichen Herbaria
Stereocaulon glareosum,Stereocaulon glareosum (Savicz) H. Magn.,Consortium of Lichen Herbaria
Stereocaulon groenlandicum,Stereocaulon groenlandicum (E. Dahl) Lamb,Consortium of Lichen Herbaria
Stereocaulon species,Stereocaulon Hoffm.,Consortium of Lichen Herbaria
Stereocaulon sp.,Stereocaulon Hoffm.,Consortium of Lichen Herbaria
Stereocaulon,Stereocaulon Hoffm.,Consortium of Lichen Herbaria
Stereocaulon paschale,Stereocaulon paschale (L.) Hoffm.,Consortium of Lichen Herbaria
Stereocaulon rivulorum,Stereocaulon rivulorum H. Magn.,Consortium of Lichen Herbaria
Stereocaulon spathuliferum,Stereocaulon spathuliferum Vain.,Consortium of Lichen Herbaria
Stereocaulon subcoralloides,Stereocaulon subcoralloides (Nyl.) Nyl.,Consortium of Lichen Herbaria
Stereocaulon tomentosum,Stereocaulon tomentosum Fr.,Consortium of Lichen Herbaria
Stereocaulon vesuvianum,Stereocaulon vesuvianum Pers.,Consortium of Lichen Herbaria
Sticta arctica,Sticta arctica Degel.,Consortium of Lichen Herbaria
Buellia insignis,Tetramelas insignis (Nägeli) Kalb,Consortium of Lichen Herbaria
Tetramelas species,Tetramelas Norman,Consortium of Lichen Herbaria
Buellia papillata,Tetramelas papillatus (Sommerf.) Kalb,Consortium of Lichen Herbaria
Toninia sedifolia,"Thalloidima sedifolium (Scop.) Kistenich, Timdal, Bendiksby & S. Ekman",Consortium of Lichen Herbaria
Thamnolia species,Thamnolia Ach. ex Schaer.,Consortium of Lichen Herbaria
Thamnolia sp.,Thamnolia Ach. ex Schaer.,Consortium of Lichen Herbaria
Thamnolia vermicularis s. subuliformis,Thamnolia subuliformis (Ehrh.) W.L. Culb.,Consortium of Lichen Herbaria
Thamnolia vermicularis subsp. Subuliformis,Thamnolia subuliformis (Ehrh.) W.L. Culb.,Consortium of Lichen Herbaria
Thamnolia subuliformis,Thamnolia subuliformis (Ehrh.) W.L. Culb.,Consortium of Lichen Herbaria
Thamnolia vermicularis,Thamnolia vermicularis (Sw.) Ach. ex Schaer.,Consortium of Lichen Herbaria
Trapeliopsis granulosa,Trapeliopsis granulosa (Hoffm.) Lumbsch,Consortium of Lichen Herbaria
Cetraria sepincola,Tuckermanopsis sepincola (Ehrh.) Hale,Consortium of Lichen Herbaria
Umbilicaria arctica,Umbilicaria arctica (Ach.) Nyl.,Consortium of Lichen Herbaria
Umbilicaria cinereorufescens,Umbilicaria cinereorufescens (Schaer.) Frey,Consortium of Lichen Herbaria
Umbilicaria cylindrica s. lat.,Umbilicaria cylindrica (L.) Delise ex Duby,Consortium of Lichen Herbaria
Umbilicaria sp.,Umbilicaria Hoffm.,Consortium of Lichen Herbaria
Umbilicaria species,Umbilicaria Hoffm.,Consortium of Lichen Herbaria
Umbilicaria,Umbilicaria Hoffm.,Consortium of Lichen Herbaria
Umbilicaria hyperborea,Umbilicaria hyperborea (Ach.) Hoffm.,Consortium of Lichen Herbaria
Umbilicaria lyngei,Umbilicaria lyngei Schol.,Consortium of Lichen Herbaria
Umbilicaria proboscidea,Umbilicaria proboscidea (L.) Schrad.,Consortium of Lichen Herbaria
Umbilicaria rigida,Umbilicaria rigida (Du Rietz) Frey,Consortium of Lichen Herbaria
Umbilicaria torrefacta,Umbilicaria torrefacta (Lightf.) Schrad.,Consortium of Lichen Herbaria
Umbilicaria vellea,Umbilicaria vellea (L.) Ach.,Consortium of Lichen Herbaria
Usnea species,Usnea Dill. ex Adans.,Consortium of Lichen Herbaria
Varicellaria rhodocarpa,Varicellaria rhodocarpa (Körb.) Th. Fr.,Consortium of Lichen Herbaria
Vulpicida species,Vulpicida J.-E. Mattsson & M.J. Lai,Consortium of Lichen Herbaria
Vulpicida tilesii,Vulpicida juniperina (L.) J.-E. Mattsson & M.J. Lai,Consortium of Lichen Herbaria
Vulpicida juniperina,Vulpicida juniperina (L.) J.-E. Mattsson & M.J. Lai,Consortium of Lichen Herbaria
Vulpicida pinastri,Vulpicida pinastri (Scop.) J.-E. Mattsson & M.J. Lai,Consortium of Lichen Herbaria
Arthrorhaphis vacillans,Arthrorhaphis vacillans (Th. Fr. & Almq.) Th. Fr.,Consortium of Lichen Herbaria
Bryodina rhypariza,Bryonora rhypariza (Nyl.) Poelt,Consortium of Lichen Herbaria
Placidium rufescens,Catapyrenium rufescens (Ach.) Breuss,Consortium of Lichen Herbaria
Dacampia hookeri,Dacampia hookeri (Borrer) A. Massal.,Consortium of Lichen Herbaria
Flavocetraria cucullata x nivalis,Flavocetraria cucullata (Bellardi) Kärnefelt & Thell,Consortium of Lichen Herbaria
Lepraria membranacea,Lepraria membranacea (Dicks.) Vain.,Consortium of Lichen Herbaria
Peltigera frippii,Peltigera frippii Holt.-Hartw.,Consortium of Lichen Herbaria
Pertusaria atra,Pertusaria atra Lynge,Consortium of Lichen Herbaria
Pertusaria papillata,Pertusaria papillata (Ach.) Tuck.,Consortium of Lichen Herbaria
Polyblastia bryophila,Polyblastia bryophila Lonnr. ,Consortium of Lichen Herbaria
Rhizocarpon disporum,Rhizocarpon disporum (Naeg. ex Hepp) Müll. Arg.,Consortium of Lichen Herbaria
Solorina bispora v. subspongiosa,Solorina bispora var. subspongiosa (Zschacke) Frey,Consortium of Lichen Herbaria
Stereocaulon cumulatum,Stereocaulon cumulatum (Sommerf.) Timdal,Consortium of Lichen Herbaria
Toninia arctica,Thalloidima arcticum (Timdal) Timdal,Consortium of Lichen Herbaria
Thamnolia vermicularis s. vermicularis,Thamnolia vermicularis ssp. vermicularis (Sw.) Schaer.,Consortium of Lichen Herbaria
Xanthoria species,Xanthoria (Fr.) Th. Fr.,Consortium of Lichen Herbaria
Botrychium minganense,Botrychium minganense Vict.,Dauphin et al. 2017
Minuartia macrocarpa,Pseudocherleria macrocarpa (Pursh) Dillenb. & Kadereit,Dillenberger and Kadereit 2014
Pseudocherleria macrocarpa,Pseudocherleria macrocarpa (Pursh) Dillenb. & Kadereit,Dillenberger and Kadereit 2014
Minuartia dawsonensis,Sabulina dawsonensis (Britton) Rydb.,Dillenberger and Kadereit 2014
Minuartia elegans,Sabulina elegans (Cham. & Schltdl.) Dillenb. & Kadereit,Dillenberger and Kadereit 2014
Minuartia sp.,Sabulina Rchb.,Dillenberger and Kadereit 2014
Minuartia rossii,Sabulina rossii (R. Br. ex Richardson) Dillenb. & Kadereit,Dillenberger and Kadereit 2014
Minuartia rubella,Sabulina rubella (Wahlenb.) Dillenb. & Kadereit,Dillenberger and Kadereit 2014
Minuartia stricta,Sabulina stricta (Sw.) Dillenb. & Kadereit,Dillenberger and Kadereit 2014
Minuartia stricta (Sw.) Hiern.,Sabulina stricta (Sw.) Dillenb. & Kadereit,Dillenberger and Kadereit 2014
Peltigera hymenina,Peltigera hymenina (Ach.) Delise,Dillman et al. 2012
Psora vallesiaca,Psora vallesiaca (Schaer.) Timdal,Dillman et al. 2012
Polyblastia terrestris,Sporodictyon terrestre (Th. Fr.) Savic & Tibell,Dillman et al. 2012
Toninia tristis s. lat.,Toninia tristis (Th. Fr.) Th. Fr.,Dillman et al. 2012
Alectoria species,Alectoria Ach.,Divakar et al. 2017
Alectoria sp.,Alectoria Ach.,Divakar et al. 2017
Alectoria,Alectoria Ach.,Divakar et al. 2017
Gowardia nigricans,Alectoria nigricans (Ach.) Nyl.,Divakar et al. 2017
Alectoria nigricans,Alectoria nigricans (Ach.) Nyl.,Divakar et al. 2017
Ditrichum flexicaule,Flexitrichum flexicaule (Schwägr.) Ignatov & Fedosov,Fedosov et al. 2016
Flexitrichum gracile,Flexitrichum gracile (Mitt.) Ignatov & Fedosov,Fedosov et al. 2016
Abietinella abietina,Abietinella abietina (Hedw.) Fleisch.,Flora of North America
Aloina brevirostris,Aloina brevirostris (Hook. & Grev.) Kindb.,Flora of North America
Amblystegium serpens,Amblystegium serpens (Hedw.) Schimp.,Flora of North America
Amphidium mougeotii,Amphidium mougeotii (Bruch & Schimp.) Schimp.,Flora of North America
Andreaea blyttii,Andreaea blyttii Schimp.,Flora of North America
Andreaea alpestris,Andreaea rupestris Hedw.,Flora of North America
Andreaea rupestris,Andreaea rupestris Hedw.,Flora of North America
Andreaeobryum macrosporum,Andreaeobryum macrosporum Steere & B.M. Murray,Flora of North America
Antitrichia curtipendula,Antitrichia curtipendula (Hedw.) Brid.,Flora of North America
Aongstroemia longipes,Aongstroemia longipes (Sommerf.) Bruch & Schimp.,Flora of North America
Aplodon wormskjoldii,Aplodon wormskioldii (Hornem.) R. Br.,Flora of North America
Arctoa anderssonii,Arctoa anderssonii Wich.,Flora of North America
Arctoa species,Arctoa Bruch & Schimp.,Flora of North America
Aulacomnium acuminatum,Aulacomnium acuminatum (Lindb. & Arnell) Kindb.,Flora of North America
Aulacomnium palustre,Aulacomnium palustre (Hedw.) Schwägr.,Flora of North America
Aulacomnium palustre var. imbricatum,Aulacomnium palustre (Hedw.) Schwägr.,Flora of North America
Aulacomnium palustre var imbricatum,Aulacomnium palustre (Hedw.) Schwägr.,Flora of North America
Aulacomnium species,Aulacomnium Schwägr.,Flora of North America
Aulacomnium,Aulacomnium Schwägr.,Flora of North America
Aulacomnium turgidum,Aulacomnium turgidum (Wahlenb.) Schwägr.,Flora of North America
Barbula convoluta,Barbula convoluta Hedw.,Flora of North America
Barbula species,Barbula Hedw.,Flora of North America
Barbula unguiculata,Barbula unguiculata Hedw.,Flora of North America
Bartramia ithyphylla,Bartramia ithyphylla Brid.,Flora of North America
Brachythecium sp.,Brachytheciastrum Ignatov & Huttunen,Flora of North America
Brachythecium albicans,Brachythecium albicans (Hedw.) Schimp.,Flora of North America
Cirriphyllum cirrosum,Brachythecium cirrosum (Schwägr.) Schimp.,Flora of North America
Brachythecium groenlandicum,Brachythecium coruscum I. Hagen,Flora of North America
Brachythecium erythrorrhizon,Brachythecium erythrorrhizon Schimp.,Flora of North America
Brachythecium frigidum,Brachythecium frigidum (Müll. Hal.) Besch.,Flora of North America
Brachythecium rivulare,Brachythecium rivulare Schimp.,Flora of North America
Brachythecium salebrosum,Brachythecium rotaeanum De Not.,Flora of North America
Brachythecium species,Brachythecium Schimp.,Flora of North America
Brachythecium,Brachythecium Schimp.,Flora of North America
Brachythecium turgidum,Brachythecium turgidum (Hartm.) Kindb.,Flora of North America
Brachythecium mildeanum,Brachythecium udum I. Hagen,Flora of North America
Bryhnia hultenii,Bryhnia hultenii E.B. Bartram,Flora of North America
Bryobrittonia longipes,Bryobrittonia longipes Hedw.,Flora of North America
Bryoerythrophyllum recurvirostre,Bryoerythrophyllum recurvirostrum (Hedw.) Chen,Flora of North America
Bryoerythrophyllum recurvirostrum,Bryoerythrophyllum recurvirostrum (Hedw.) Chen,Flora of North America
Bryum argenteum,Bryum argenteum Hedw.,Flora of North America
Bryum species,Bryum Hedw.,Flora of North America
Bryum sp.,Bryum Hedw.,Flora of North America
Bryum,Bryum Hedw.,Flora of North America
Plagiothecium undulatum,Buckiella undulata (Hedw.) Irel.,Flora of North America
Calliergon species,Calliergon (Sull.) Kindb.,Flora of North America
Calliergon sp.,Calliergon (Sull.) Kindb.,Flora of North America
Calliergon,Calliergon (Sull.) Kindb.,Flora of North America
Calliergon cordifolium,Calliergon cordifolium (Hedw.) Kindb.,Flora of North America
Calliergon giganteum,Calliergon giganteum (Schimp.) Kindb.,Flora of North America
Calliergon megalophyllum,Calliergon megalophyllum Mikut.,Flora of North America
Calliergon richardsonii,Calliergon richardsonii (Mitt.) Kindb.,Flora of North America
Campylium chrysophyllum,Campyliadelphus chrysophyllus (Brid.) R.S. Chopra,Flora of North America
Campylium species,Campylium (Sull.) Mitt.,Flora of North America
Campylium,Campylium (Sull.) Mitt.,Flora of North America
Campylium stellatum,Campylium stellatum (Hedw.) C.E.O. Jensen,Flora of North America
Campylium halleri,Campylophyllum halleri (Hedw.) M. Fleisch.,Flora of North America
Campylium hispidulum,Campylophyllum hispidulum (Brid.) Hedenäs,Flora of North America
"Campylidium, sommerfeltii",Campylophyllum sommerfeltii (Myr.) Hedenäs,Flora of North America
Catoscopium nigritum,Catoscopium nigritum (Hedw.) Brid.,Flora of North America
Ceratodon species,Ceratodon Brid.,Flora of North America
Ceratodon purpureus,Ceratodon purpureus (Hedw.) Brid.,Flora of North America
Cinclidium arcticum,Cinclidium arcticum Bruch & Schimp.,Flora of North America
Cinclidium latifolium,Cinclidium latifolium Lindb.,Flora of North America
Cinclidium stygium,Cinclidium stygium Sw.,Flora of North America
Cinclidium cf. stygium,Cinclidium stygium Sw.,Flora of North America
Cinclidium subrotundum,Cinclidium subrotundum Lindb.,Flora of North America
Cinclidium species,Cinclidium Sw.,Flora of North America
Cinclidium sp.,Cinclidium Sw.,Flora of North America
Cinclidium,Cinclidium Sw.,Flora of North America
Cirriphyllum piliferum,Cirriphyllum piliferum (Hedw.) Grout,Flora of North America
Claopodium species,Claopodium (Lesq. & James) Renauld & Cardot,Flora of North America
Claopodium crispifolium,Claopodium crispifolium (Hook.) Renauld & Cardot,Flora of North America
Claopodium pellucinerve,Claopodium pellucinerve (Mitt.) Best,Flora of North America
Climacium dendroides,Climacium dendroides (Hedw.) F. Weber & D. Mohr,Flora of North America
Conostomum tetragonum,Conostomum tetragonum (Hedw.) Lindb.,Flora of North America
Cratoneuron species,Cratoneuron (Sull.) Spruce,Flora of North America
Cratoneuron filicinum,Cratoneuron filicinum (Hedw.) Spruce,Flora of North America
Callialaria curvicaulis,Cratoneuron filicinum (Hedw.) Spruce,Flora of North America
Ctenidium species,Ctenidium (Schimp.) Mitt.,Flora of North America
Ctenidium molluscum,Ctenidium molluscum (Hedw.) Mitt.,Flora of North America
Cynodontium species,Cynodontium Bruch & Schimp. ex Schimp.,Flora of North America
Cynodontium polycarpum,Cynodontium polycarpon (Hedw.) Schimp.,Flora of North America
Cynodontium strumiferum,Cynodontium strumiferum (Hedw.) Lindb.,Flora of North America
Cyrtomnium hymenophylloides,Cyrtomnium hymenophylloides (Hübener) T.J. Kop.,Flora of North America
Cyrtomnium hymenophyllum,Cyrtomnium hymenophyllum (Bruch & Schimp.) Holmen,Flora of North America
Dichodontium pellucidum,Dichodontium pellucidum (Hedw.) Schimp.,Flora of North America
Dicranella species,Dicranella (Müll. Hal.) Schimp.,Flora of North America
Dicranella sp.,Dicranella (Müll. Hal.) Schimp.,Flora of North America
Dicranella cerviculata,Dicranella cerviculata (Hedw.) Schimp.,Flora of North America
Dicranella crispa,Dicranella crispa (Hedw.) Schimp.,Flora of North America
Dicranella subulata,Dicranella subulata (Hedw.) Schimp.,Flora of North America
Dicranella varia,Dicranella varia (Hedw.) Schimp.,Flora of North America
Dicranoweisia crispula,Dicranoweisia crispula (Hedw.) Lindb. ex Milde,Flora of North America
Dicranum acutifolium,Dicranum acutifolium (Lindb. & Arnell) C.E.O. Jensen ex Weinm.,Flora of North America
Dicranum bonjeanii,Dicranum bonjeanii De Not.,Flora of North America
Dicranum elongatum,Dicranum elongatum Schleich. ex Schwägr.,Flora of North America
Dicranum fragilifolium,Dicranum fragilifolium Lindb.,Flora of North America
Dicranum fuscescens,Dicranum fuscescens Turner,Flora of North America
Dicranum groenlandicum,Dicranum groenlandicum Brid.,Flora of North America
Dicranum species,Dicranum Hedw.,Flora of North America
Dicranum sp.,Dicranum Hedw.,Flora of North America
Dicranum,Dicranum Hedw.,Flora of North America
Dicranum majus,Dicranum majus Turner,Flora of North America
Dicranum muehlenbeckii,Dicranum muehlenbeckii Bruch & Schimp.,Flora of North America
Dicranum polysetum,Dicranum polysetum Sw.,Flora of North America
Dicranum scoparium,Dicranum scoparium Hedw.,Flora of North America
Dicranum angustum,Dicranum spadiceum J.E. Zetterst.,Flora of North America
Dicranum spadiceum,Dicranum spadiceum J.E. Zetterst.,Flora of North America
Dicranum undulatum,Dicranum undulatum Brid.,Flora of North America
